Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting Year
1003591,110066912586.0,AIR LIQUIDE GEISMAR UTILITY SERVICES,GEISMAR,LA,70734,36183 HWY 30,ASCENSION PARISH,30.216085,-91.002699,221330.0,C,Power Plants,156240.194,156075.4,74.5,90.294,,,,,,,,,727.5,156240.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000129,110012143304.0,AL Sandersville,WARTHEN,GA,31094,1600 MILLS LINDSEY SCHOOL ROAD,Washington,33.1189,-82.8608,221112.0,D,Power Plants,49762.116,49711.7,23.0,27.416,,,,,,,,,,,49762.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001877,110000602045.0,ALCOA INC - WARRICK OPERATIONS,NEWBURGH,IN,47629,,WARRICK COUNTY,37.915,-87.3328,331313.0,"C,D,F","Metals,Power Plants",5235337.915,5085427.2,13822.0,23918.374,,112170.341,,,,,,,,180797.42,4693269.854,,361270.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1007178,110028032698.0,AMEA Sylacauga Plant,SYLACAUGA,AL,35150,125 THOMPSON LANE,Talladega,33.1661,-86.2825,221112.0,D,Power Plants,28256.744,28227.7,13.25,15.794,,,,,,,,,,,28256.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1008730,110071159285.0,AMP Fremont Energy Center,Fremont,OH,43420,1275 Miarer Rd,SANDUSKY COUNTY,41.355909,-83.122007,221112.0,D,Power Plants,1336518.648,1335161.8,619.0,737.848,,,,,,,,,,,1336518.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1005490,110001547675.0,ANIMAS POWER PLANT,FARMINGTON,NM,87401,501 MCCORMICK SCHOOL ROAD,SAN JUAN COUNTY,36.72488,-108.19144,221112.0,C,Power Plants,1762.444,1760.8,0.75,0.894,,,,,,,,,,1762.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001423,110071160043.0,APS Saguaro Power Plant,RED ROCK,AZ,85245,MAIL POST 228,Pinal,32.5517,-111.3,221112.0,"C,D",Power Plants,93385.452,93290.1,43.5,51.852,,,,,,,,,,35911.864,57473.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001422,110017422145.0,APS West Phoenix Power Plant,PHOENIX,AZ,85043,4606 WEST HADLEY,Maricopa,33.4417,-112.1583,221112.0,"C,D",Power Plants,1419156.086,1417727.7,651.5,776.886,,,,,,,,,,523201.658,895954.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1003496,110009878748.0,ASHLEY Energy LLC,SAINT LOUIS,MO,63102,1 ASHLEY STREET,ST. LOUIS CITY,38.63639,-90.18108,221330.0,C,Power Plants,49449.064,49398.1,23.25,27.714,,,,,,,,,,49449.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1004576,110043792401.0,ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC,ASTORIA,NY,11105,17-10 STEINWAY ST,QUEENS COUNTY,40.7825,-73.8964,221112.0,D,Power Plants,2452393.404,2449765.8,1168.0,1459.604,,,,,,,,,,,2452393.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
