Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting Year
1001127,110066618645.0,Carson Power Plant,ELK GROVE,CA,95758,8580 Laguna Station Rd,Sacramento,38.4461,-121.4614,221112.0,"C,D",Power Plants,113875.132,113738.7,59.25,77.182,,,,,,,,,5807.2,3109.288,110765.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001218,110019421017.0,Carthage Energy,Carthage,NY,13619,701 West End Ave,Jefferson,43.9842,-75.6225,221112.0,"C,D",Power Plants,2648.24,2645.5,1.25,1.49,,,,,,,,,,331.348,2316.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1012606,110070131990.0,Carty Generating Station,Boardman,OR,97818,73396 Tower Road,MORROW COUNTY,45.6933,-119.8075,221112.0,"C,D",Power Plants,1175504.344,1174310.8,544.5,649.044,,,,,,,,,,193.9,1175310.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1005110,110008972362.0,Carville Energy Center,Saint Gabriel,LA,70776,4322 HIGHWAY 30,IBERVILLE PARISH,30.2292,-91.065,221112.0,D,Power Plants,1112091.48,1110962.6,515.0,613.88,,,,,,,,,,,1112091.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1008168,110015683786.0,Cass County Station,PLATTSMOUTH,NE,68048,3520 MILL ROAD,Cass,40.9472,-95.9667,221112.0,"C,D",Power Plants,94754.3,94658.4,43.75,52.15,,,,,,,,,,24.4,94729.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001206,110071160213.0,"Castleton Power, LLC",CASTLETON ON HUDSON,NY,12033,1902 RIVER ROAD ROUTE 9J,Rensselaer,42.5375,-73.7433,221112.0,"C,D",Power Plants,40054.252,40013.7,18.5,22.052,,,,,,,,,,161.8,39892.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001540,110071160310.0,Cayuga,CAYUGA,IN,47900,3300 North SR 63,Vermillion,39.9239,-87.4272,221112.0,"C,D",Power Plants,4139850.158,4106748.5,12108.75,20992.908,,,,,,,,,,579.09,4139271.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1006950,110000328547.0,"Cayuga Operating Company, LLC",LANSING,NY,14882,228 CAYUGA DR,Tompkins,42.6028,-76.6336,221112.0,"C,D",Power Plants,58.9,58.9,,,,,,,,,,,,58.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000929,110015743301.0,Cedar Bayou,BAYTOWN,TX,77520,7705 WEST BAY ROAD,Chambers,29.7483,-94.9272,221112.0,"C,D",Power Plants,1106807.448,1105683.5,512.75,611.198,,,,,,,,,,6816.124,1099991.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000547,110015743301.0,Cedar Bayou 4,ELDON,TX,77523,7705 WEST BAY ROAD,Chambers,29.752,-94.923,221112.0,D,Power Plants,695362.972,694656.6,322.25,384.122,,,,,,,,,,,695362.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1002677,110001916437.0,CenTrio,SEATTLE,WA,98101,1319 WESTERN AVE,KING,47.605772,-122.340619,221330.0,C,Power Plants,63698.76,63633.0,30.0,35.76,,,,,,,,,,63698.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000819,110007348441.0,Central Alabama Generating Station,BILLINGSLEY,AL,36006,3305 COUNTY ROAD 26,Autauga,32.6503,-86.7386,221112.0,D,Power Plants,2172160.5,2169954.8,1006.25,1199.45,,,,,,,,,,,2172160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007310,110000490665.0,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112.0,"C,D",Power Plants,5844587.298,5798775.0,16757.0,29055.298,,,,,,,,,,1555.274,5843032.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001396,110038917633.0,Ceredo Generating Station,HUNTINGTON,WV,25704,1662 WALKER BRANCH ROAD,Wayne,38.3681,-82.5339,221112.0,"C,D",Power Plants,73081.376,73006.3,34.25,40.826,,,,,,,,,,579.248,72502.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000649,110071160048.0,Chalk Point,AQUASCO,MD,20608,PO 10,Prince George'S,38.5444,-76.6861,221112.0,"C,D",Power Plants,405988.542,403900.4,775.75,1312.392,,,,,,,,,,5413.562,400574.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000148,110012215913.0,"Chambersburg Units 12,13",CHAMBERSBURG,PA,17201,ALLEMAN ROAD,Franklin,39.8668,-77.6859,221112.0,D,Power Plants,128046.851,127916.9,59.325,70.626,,,,,,,,,,,128046.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1012910,110070209491.0,Chamon Power LLC,Houston,TX,77049,18511 Beaumont Hwy,HARRIS COUNTY,29.87449,-95.106947,221112.0,D,Power Plants,21769.52,21747.6,10.0,11.92,,,,,,,,,,,21769.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001408,110034690564.0,Channel Energy Center,PASADENA,TX,77506,451 LIGHT COMPANY ROAD,Harris,29.7189,-95.2319,221112.0,"C,D",Power Plants,2309385.264,2298828.2,3131.5,7425.564,,,,,,,,,,72060.28,2237324.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007323,110037535218.0,Channelview Cogeneration Facility,Houston,TX,77049,8580 Sheldon Road,Harris,29.8356,-95.1242,221112.0,D,Power Plants,2857735.06,2854833.4,1323.75,1577.91,,,,,,,,,,,2857735.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1005778,110001370187.0,Chanute 2,CHANUTE,KS,66720,1415 N GARFIELD,Neosho,37.6953,-95.4586,221112.0,"C,D",Power Plants,175807.096,175627.9,81.75,97.446,,,,,,,,,,5.0,175802.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1011999,110057110594.0,Charles D. Lamb Energy Center,Ponca City,OK,74601,4250 W. Doolin Avenue,KAY COUNTY,36.81107,-97.12581,221112.0,D,Power Plants,75653.12,75576.4,35.0,41.72,,,,,,,,,,,75653.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001499,110071161613.0,Charles Larsen Memorial Power Plant,LAKELAND,FL,33801,2002 E RD 92,Polk,28.0491,-81.9238,221112.0,"C,D",Power Plants,78417.76,78338.3,36.25,43.21,,,,,,,,,,0.0,78417.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001418,110056968278.0,Charles R Lowman,LEROY,AL,36548,CARSON ROAD,Washington,31.4858,-87.9106,221121.0,D,Power Plants,379429.66,376389.6,1112.0,1928.06,,,,,,,,,,,379429.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001178,110013399492.0,Chattahoochee Energy Facility,FRANKLIN,GA,30217,3459 HOLLINGSWORTH FERRY RD,Heard,33.407,-85.0387,221112.0,D,Power Plants,1276504.468,1275207.9,591.5,705.068,,,,,,,,,,,1276504.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000144,110055650371.0,Chehalis Generation Facility,CHEHALIS,WA,98532,1813 BISHOP ROAD,Lewis,46.6226,-122.9145,221112.0,"C,D",Power Plants,965080.924,964101.1,447.0,532.824,,,,,,,,,,1676.844,963404.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007207,110070205036.0,Cherokee,DENVER,CO,80216,6198 FRANKLIN ST,Adams,39.8078,-104.9648,221112.0,"C,D",Power Plants,1699195.552,1697469.9,787.25,938.402,,,,,,,,,,7982.72,1691212.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1007184,110000553534.0,Cherokee County Cogen,GAFFNEY,SC,29340,132 PEOPLES CREEK RD,Cherokee,35.0727,-81.613,221112.0,D,Power Plants,149853.369,149701.1,69.425,82.844,,,,,,,,,,,149853.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000964,110000342530.0,Chesterfield Power Station,CHESTER,VA,23826,500 COXENDALE ROAD,Chesterfield,37.3822,-77.3833,221112.0,"C,D",Power Plants,2315074.828,2301441.4,5047.75,8585.678,,,,,,,,,,468682.734,1846392.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001198,110056969641.0,Cheswick,Springdale,PA,15144,100 Pittsburgh Street,Allegheny,40.5383,-79.7906,221112.0,"C,D",Power Plants,608649.416,603813.4,1769.0,3067.016,,,,,,,,,,98.598,608550.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000696,110041067234.0,Chevron Cogenerating Station,PASCAGOULA,MS,39568,200 INDUSTRIAL ROAD GATE 4,Jackson,30.34,-88.492,221112.0,"C,D",Power Plants,726495.73,725601.2,377.5,517.03,,,,,,,,,,360883.234,365612.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1012045,110055478139.0,Cheyenne Prairie Generating Station,Cheyenne,WY,82009,6711 HR Ranch Road,LARAMIE COUNTY,41.12703,-104.72413,221112.0,"C,D",Power Plants,154691.728,154535.0,71.5,85.228,,,,,,,,,,4065.236,150626.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000171,110014338537.0,Choctaw County Gen,FRENCH CAMP,MS,39745,2446 HIGHWAY 407 WEST,Choctaw,33.2881,-89.4201,221112.0,"C,D",Power Plants,2016480.976,2014433.1,934.25,1113.626,,,,,,,,,,1046.796,2015434.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001421,110071160042.0,Cholla,JOSEPH CITY,AZ,86032,4801 FRONTAGE ROAD,Navajo,34.9394,-110.3033,221112.0,D,Power Plants,3819609.034,3789004.9,11194.5,19409.634,,,,,,,,,,,3819609.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001142,110071161651.0,Chouteau Power Plant,PRYOR,OK,74362,HWY 412B,Mayes,36.2206,-95.2756,221112.0,"C,D",Power Plants,2357705.712,2355311.5,1092.25,1301.962,,,,,,,,,,11830.104,2345875.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000150,110024419244.0,Chuck Lenzie Generating Station,APEX,NV,89124,11405 US HIGHWAY 93,Clark,36.3853,-114.9228,221112.0,"C,D",Power Plants,2529617.576,2527049.1,1171.75,1396.726,,,,,,,,,,219.4,2529398.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000493,110001699323.0,City Water & Light - City of Jonesboro,JONESBORO,AR,72403,1400 HANLEY DRIVE,Craighead,35.8481,-90.7257,221112.0,"C,D",Power Plants,6779.77,6771.8,3.5,4.47,,,,,,,,,,724.696,6055.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1002328,110071162422.0,City of Akron Steam Generating,AKRON,OH,44307,222 OPPORTUNITY PARKWAY,SUMMIT COUNTY,41.07348,-81.53203,221330.0,C,Power Plants,49127.616,49077.2,23.0,27.416,,,,,,,,,,49127.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001580,110071161617.0,City of Coffeyville Light & Power,COFFEYVILLE,KS,67337,605 SANTA FE,Montgomery,37.0456,-95.6076,221112.0,"C,D",Power Plants,160.1,160.1,,,,,,,,,,,,7.5,152.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000726,110004307027.0,Clark,LAS VEGAS,NV,89122,5640 STEPHANIE ST,Clark,36.0875,-115.0507,221112.0,"C,D",Power Plants,440069.356,439618.9,205.5,244.956,,,,,,,,,,290966.856,149102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1012074,110054806162.0,Clayville,Vineland,NJ,8361,4087 S. Lincoln Ave.,CUMBERLAND COUNTY,39.42737,-75.01947,221112.0,D,Power Plants,28314.996,28286.5,13.0,15.496,,,,,,,,,,,28314.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000667,110000312064.0,Cleary Flood,TAUNTON,MA,2780,1314 SOMERSET AVE,Bristol,41.8653,-71.1061,221112.0,"C,D",Power Plants,32490.874,32456.6,15.5,18.774,,,,,,,,,,2213.54,30277.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000565,110039620292.0,Cleveland County Generating Facility,Grover,NC,28073,200 Elm Road,Cleveland,35.1706,-81.4161,221112.0,"C,D",Power Plants,324171.936,323840.8,150.25,180.886,,,,,,,,,,114.5,324057.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000832,110071160891.0,Cliffside,CLIFFSIDE,NC,28024,DUKE POWER RD #1002,Cleveland,35.22,-81.7594,221112.0,"C,D",Power Plants,4201415.576,4172651.0,10583.0,18181.576,,,,,,,,,,1741.822,4199673.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001531,110000402314.0,Clifty Creek,MADISON,IN,47250,1335 CLIFTY HOLLOW ROAD,Jefferson,38.7383,-85.4192,221112.0,"C,D",Power Plants,4592267.24,4555473.6,13458.75,23334.89,,,,,,,,,,276.646,4591990.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1007359,110071161760.0,Clinch River,CLEVELAND,VA,24225,STATE ROUTE 82,Russell,36.9333,-82.1997,221112.0,"C,D",Power Plants,167129.68,166959.8,77.5,92.38,,,,,,,,,,0.0,167129.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001093,110071161669.0,Clover Power Station,CLOVER,VA,24534,4091 Clover Rd,Halifax,36.8692,-78.7046,221112.0,D,Power Plants,1309217.706,1299330.7,3615.0,6272.006,,,,,,,,,,,1309217.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1007429,110071160513.0,Coal Creek,UNDERWOOD,ND,58576,2875 3RD ST SW,Mclean,47.3761,-101.1567,221112.0,"C,D",Power Plants,8720534.234,8659659.2,22266.75,38608.284,,,,,,,,,,2021.992,8718512.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1007204,110000519582.0,Coalinga Cogeneration Facility,COALINGA,CA,93210,32812 WEST GALE AVE,Fresno,36.1807,-120.3885,221112.0,"D,DD","Other,Power Plants",0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1012981,110070062906.0,Coffeyville Municipal Light and Power Generating Facility No. 2,Coffeyville,KS,67337,2601 N. 5th Industrial Street,MONTGOMERY COUNTY,37.092977,-95.585154,221112.0,C,Power Plants,22712.064,22688.5,10.75,12.814,,,,,,,,,,22712.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007829,110000367834.0,Colbert,TUSCUMBIA,AL,35674,900 STEAM PLANT RD,Colbert,34.7439,-87.8486,221112.0,C,Power Plants,3007.161,3003.7,1.375,2.086,,,,,,,,,,3007.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001599,110000380891.0,Coleman,HAWESVILLE,KY,42348,4982 RIVER ROAD,Hancock,37.9628,-86.7917,221112.0,"C,D",Power Plants,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001038,110071161388.0,Coleto Creek,FANNIN,TX,77960,FM 2987 OFF HWY 59,Goliad,28.7128,-97.2142,221112.0,D,Power Plants,2748530.634,2726983.2,7881.75,13665.684,,,,,,,,,,,2748530.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000483,110071160719.0,Colorado Bend I,WHARTON,TX,77488,3863 S SH 60,Wharton,29.2878,-96.0683,221112.0,D,Power Plants,993372.12,992363.8,460.0,548.32,,,,,,,,,,,993372.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1013024,110070199200.0,Colorado Bend II,Wharton,TX,77488,4023 South State Hwy 60,WHARTON COUNTY,29.2878,-96.0683,221112.0,"C,D",Power Plants,2038260.348,2036191.1,944.0,1125.248,,,,,,,,,,640.348,2037620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001020,110041982520.0,Colstrip,COLSTRIP,MT,59323,1 WAREHOUSE ROAD,Rosebud,45.8831,-106.614,221112.0,D,Power Plants,8340434.342,8274559.3,24094.25,41780.792,,,,,,,,,,,8340434.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000709,110018010392.0,Columbia,COLUMBIA,MO,65205,1501 BUSINESS LOOP 70 E,Boone,38.9658,-92.3175,221112.0,"C,D",Power Plants,16780.036,16762.5,8.0,9.536,,,,,,,,,,291.548,16488.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001186,110000420385.0,Columbia,PARDEEVILLE,WI,53954,W8375 MURRAY RD,Columbia,43.4864,-89.4203,221112.0,"C,D",Power Plants,5666069.672,5636353.2,1484.25,28232.222,,,,,,,,,,191.646,5665878.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1006999,110016798866.0,Columbia Energy Center (SC),GASTON,SC,29053,100 CALPINE WAY,Calhoun,33.8692,-81.0183,221112.0,"C,D",Power Plants,1288488.528,1287345.4,521.5,621.628,,,,,,,,,,49142.064,1239346.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001204,110001147786.0,Colver Green Energy,COLVER,PA,15927,141 INTERPOWER DRIVE,Cambria,40.55,-78.8,221112.0,C,Power Plants,607203.476,602475.5,1729.5,2998.476,,,,,,,,,,607203.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001462,110000467851.0,Comanche (470),PUEBLO,CO,81006,2005 LIME RD,Pueblo,38.2081,-104.5747,221112.0,"C,D",Power Plants,4453095.372,4430252.3,1181.75,21661.322,,,,,,,,,,196.8,4452898.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001191,110001631707.0,Comanche (8059),LAWTON,OK,73501,6601 SE 60TH ST,Comanche,34.5431,-98.3244,221112.0,D,Power Plants,123905.44,123779.4,57.5,68.54,,,,,,,,,,,123905.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007538,110001907768.0,Commonwealth Chesapeake,NEW CHURCH,VA,23415,3415 WHITE OAK WAY,Accomack,37.9892,-75.54,221112.0,D,Power Plants,18905.342,18840.2,19.25,45.892,,,,,,,,,,,18905.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001086,110071161421.0,Concord,WATERTOWN,WI,53094,N8914 COUNTY HIGHWAY E,Jefferson,43.1669,-88.69,221112.0,"C,D",Power Plants,67280.952,67213.0,31.0,36.952,,,,,,,,,,31.6,67249.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000877,110000538801.0,Conemaugh,NEW FLORENCE,PA,15944,1442 POWER PLANT ROAD,Indiana,40.3842,-79.0611,221112.0,"C,D",Power Plants,7160349.374,7122030.8,1914.0,36404.574,,,,,,,,,,144.1,7160205.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000845,110000605417.0,Conesville,CONESVILLE,OH,43811,STATE ROUTE 16,Coshocton,40.1842,-81.8811,221112.0,"C,D",Power Plants,1109793.152,1100914.0,3247.25,5631.902,,,,,,,,,,2766.506,1107026.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1007962,110071161136.0,Coolidge Generating Station,Randolph,AZ,85128,"T6S, R8E, Section 10",Pinal,32.9175,-111.5041,221112.0,D,Power Plants,281398.556,281112.5,130.5,155.556,,,,,,,,,,,281398.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007442,110038193068.0,"Cooper River Partners, LLC",Goose Creek,SC,29445,1588 Bushy Park Road,BERKELEY COUNTY,32.986764,-79.932948,221330.0,C,Power Plants,51881.404,51827.7,24.5,29.204,,,,,,,,,,51881.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001092,110002232209.0,Cope Station,COPE,SC,29038,405 TEAMWORK ROAD,Orangeburg,33.3642,-81.03,221112.0,"C,D",Power Plants,632746.19,630247.6,947.5,1551.09,,,,,,,,,,727.348,632018.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1000540,110005162457.0,Copper Station,EL PASO,TX,79915,651 HAWKINS BLVD,El Paso,31.7569,-106.375,221112.0,C,Power Plants,34938.468,34902.3,16.5,19.668,,,,,,,,,,34938.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001354,110002073005.0,Cordova Energy Company,CORDOVA,IL,61242,24712 192ND AVE NORTH,Rock Island,41.7146,-90.2802,221112.0,"C,D",Power Plants,731863.188,731120.1,339.0,404.088,,,,,,,,,,1226.796,730636.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007103,110071160859.0,Coronado Generating Station,ST JOHNS,AZ,85936,,Apache,34.5778,-109.2717,221112.0,"C,D,HH","Power Plants,Waste",3167439.914,3142305.4,9394.75,15739.764,,,,,,,,,,2648.308,3164474.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.5,,,,N,N,Y,2020
1001363,110017743245.0,Corpus Christi Energy Center,CORPUS CHRISTI,TX,78407,3952 BUDDY LAWRENCE DRIVE,Nueces,27.8139,-97.4283,221112.0,"C,D",Power Plants,1260307.862,1258953.7,603.5,750.662,,,,,,,,,,114723.47,1145584.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1000323,110024286075.0,Cosumnes Power Plant,HERALD,CA,95638,14295A Clay East Road,Sacramento,38.3383,-121.1239,221112.0,D,Power Plants,1383664.476,1382139.8,679.25,845.426,,,,,,,,,31439.7,,1383664.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001291,110000423658.0,Cottage Grove Cogeneration,COTTAGE GROVE,MN,55016,9525 105TH ST COURT S,Washington,44.7956,-92.9119,221112.0,"C,D",Power Plants,320447.412,320121.9,148.5,177.012,,,,,,,,,,19580.076,300867.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007303,110012181673.0,Cottonwood Energy Project,DEWEYVILLE,TX,77614,976 COUNTY ROAD 4213,Newton,30.2588,-93.7353,221112.0,"C,D",Power Plants,2432843.032,2430372.1,1127.25,1343.682,,,,,,,,,,9.2,2432833.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001603,110029512837.0,Coughlin Power Station,ST. LANDRY,LA,71367,2180 ST LANDRY HWY,Evangeline,30.8442,-92.2606,221112.0,D,Power Plants,1482647.204,1481141.3,687.0,818.904,,,,,,,,,,,1482647.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001406,110015846076.0,Covert Generating Station,COVERT,MI,49043,26000 77TH ST,Van Buren,42.3231,-86.2925,221112.0,"C,D",Power Plants,2793833.696,2790996.7,1294.25,1542.746,,,,,,,,,,77.3,2793756.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1007420,110071160210.0,Coyote,BEULAH,ND,58523,6240 13TH ST SW,Mercer,47.2217,-101.8139,221112.0,"C,D",Power Plants,2660682.146,2640607.5,7342.0,12732.646,,,,,,,,,,1111.282,2659570.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001119,110000488847.0,Coyote Springs,BOARDMAN,OR,97818,200 ULLMAN BLVD,Morrow,45.8486,-119.6744,221112.0,"C,D",Power Plants,1265675.76,1264390.7,586.25,698.81,,,,,,,,,,7083.324,1258592.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
1001008,110041086393.0,Craig,CRAIG,CO,81626,2101 S RANNEY,Moffat,40.4627,-107.5912,221112.0,"C,D",Power Plants,7711959.414,7651501.6,22114.75,38343.064,,,,,,,,,,13.4,7711946.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1007732,110001482949.0,Craven County Wood Energy,New Bern,NC,28562,201 Executive Parkway,CRAVEN COUNTY,35.1285,-77.17,221117.0,D,Power Plants,4546.564,160.0,835.0,3551.564,,,,,,,,,306854.0,,4546.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2020
1001384,110040957364.0,Crete Energy Park,CRETE,IL,60417,25400 HARTMAN DRIVE,Will,41.4297,-87.6187,221112.0,"C,D",Power Plants,27070.0,27042.6,12.5,14.9,,,,,,,,,,63.2,27006.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2020
